X: -99.000000, Y: -70.000000, Z: -81.000000, Data: 2.760000
X: -99.000000, Y: -70.000000, Z: -80.000000, Data: 2.291250
X: -99.000000, Y: -70.000000, Z: -79.000000, Data: 2.488750
X: -99.000000, Y: -70.000000, Z: -78.000000, Data: 2.572500
X: -99.000000, Y: -70.000000, Z: -77.000000, Data: 1.958750
X: -99.000000, Y: -70.000000, Z: -76.000000, Data: 1.462500
X: -99.000000, Y: -70.000000, Z: -75.000000, Data: 1.451250
X: -99.000000, Y: -70.000000, Z: -74.000000, Data: 1.368750
X: -99.000000, Y: -70.000000, Z: -73.000000, Data: 1.185000
X: -99.000000, Y: -70.000000, Z: -72.000000, Data: 1.125000
X: -99.000000, Y: -70.000000, Z: -71.000000, Data: 0.941250
X: -99.000000, Y: -70.000000, Z: -70.000000, Data: 0.783750
X: -99.000000, Y: -70.000000, Z: -69.000000, Data: 0.661250
X: -99.000000, Y: -70.000000, Z: -68.000000, Data: 0.587500
X: -99.000000, Y: -70.000000, Z: -67.000000, Data: 0.543750
X: -99.000000, Y: -70.000000, Z: -66.000000, Data: 0.516250
X: -99.000000, Y: -70.000000, Z: -65.000000, Data: 0.530000
X: -99.000000, Y: -70.000000, Z: -64.000000, Data: 0.383750
X: -99.000000, Y: -70.000000, Z: -63.000000, Data: 0.416250
X: -99.000000, Y: -70.000000, Z: -62.000000, Data: 0.616250
X: -99.000000, Y: -70.000000, Z: -61.000000, Data: 0.800000
X: -99.000000, Y: -70.000000, Z: -60.000000, Data: 1.105000
X: -99.000000, Y: -70.000000, Z: -59.000000, Data: 1.532500
X: -99.000000, Y: -70.000000, Z: -58.000000, Data: 2.722500
X: -99.000000, Y: -70.000000, Z: -57.000000, Data: 3.913750
X: -99.000000, Y: -71.000000, Z: -57.000000, Data: 3.702500
X: -99.000000, Y: -71.000000, Z: -58.000000, Data: 2.842500
X: -99.000000, Y: -71.000000, Z: -59.000000, Data: 1.515000
X: -99.000000, Y: -71.000000, Z: -60.000000, Data: 1.170000
X: -99.000000, Y: -71.000000, Z: -61.000000, Data: 0.886250
X: -99.000000, Y: -71.000000, Z: -62.000000, Data: 0.618750
X: -99.000000, Y: -71.000000, Z: -63.000000, Data: 0.457500
X: -99.000000, Y: -71.000000, Z: -64.000000, Data: 0.432500
X: -99.000000, Y: -71.000000, Z: -65.000000, Data: 0.563750
X: -99.000000, Y: -71.000000, Z: -66.000000, Data: 0.543750
X: -99.000000, Y: -71.000000, Z: -67.000000, Data: 0.513750
X: -99.000000, Y: -71.000000, Z: -68.000000, Data: 0.603750
X: -99.000000, Y: -71.000000, Z: -69.000000, Data: 0.648750
X: -99.000000, Y: -71.000000, Z: -70.000000, Data: 0.725000
X: -99.000000, Y: -71.000000, Z: -71.000000, Data: 0.956250
X: -99.000000, Y: -71.000000, Z: -72.000000, Data: 1.036250
X: -99.000000, Y: -71.000000, Z: -73.000000, Data: 1.098750
X: -99.000000, Y: -71.000000, Z: -74.000000, Data: 1.318750
X: -99.000000, Y: -71.000000, Z: -75.000000, Data: 1.453750
X: -99.000000, Y: -71.000000, Z: -76.000000, Data: 1.492500
X: -99.000000, Y: -71.000000, Z: -77.000000, Data: 1.715000
X: -99.000000, Y: -71.000000, Z: -78.000000, Data: 2.197500
X: -99.000000, Y: -71.000000, Z: -79.000000, Data: 2.346250
X: -99.000000, Y: -71.000000, Z: -80.000000, Data: 2.257500
X: -99.000000, Y: -71.000000, Z: -81.000000, Data: 2.555000
X: -99.000000, Y: -71.000000, Z: -82.000000, Data: 3.307500
X: -99.000000, Y: -71.000000, Z: -83.000000, Data: 3.746250
